ReviewTitle,ReviewBody,ReviewStar,Product,Dominant_topic,Percent,Processed_text,Keywords
Really a good product(Above worth to purchase ),these really good built qualitypremium quality except rubber holders provides smooth sound quality basscondition use proper ear bud happy purchase i used brand jbl skullcandy house marley it standing brands the bluetooth gets connected easily u also get 1 year insurance card product gives enhancement trusthappy productprosgood built qualitygood sound basseasy connectivityperfectly fitsgood doorconsi found uneasy use might gripper i never used note examples i gave jbl sound quality i really consider point price,5,boAt Rockerz 255,2,0.474,"['qualitypremium', 'quality', 'rubber', 'holder', 'quality', 'basscondition', 'ear', 'purchase', 'brand', 'jbl', 'brand', 'year', 'insurance', 'card', 'product', 'enhancement', 'productprosgood', 'qualitygood', 'sound', 'fitsgood', 'doorconsi', 'use', 'note', 'example', 'jbl', 'quality', 'point', 'price']",base bass brand durability earphone jbl price quality range sound
Wow..!!!!!,this great product comes nice box fits perfect ears the sound quality also nice i tested couple different songs good i waiting buy luck came sale 999 steal price i super happy product i sure price available normal sale price saw 1900 i guess might little expensive i got real deal happy happy,5,boAt Rockerz 255,0,0.471,"['product', 'box', 'ear', 'quality', 'couple', 'song', 'waiting', 'buy', 'luck', 'sale', 'steal', 'price', 'product', 'price', 'sale', 'price', 'guess', 'deal']",battery call day hour life money music product quality use
"Sound quality is not good, over bassed",i brought one using boat nirvanaa uno uno good quality stereo nice bass this sounds like mono headset i think bass much set correctly it sounds differently mobile pc i satisfied sound output it connects pc mobile time attending mobile call skype call hassle for rs 1990 better quality available i trusted boat based previous purchase uno,3,boAt Rockerz 255,0,0.488,"['boat', 'nirvanaa', 'quality', 'stereo', 'bass', 'headset', 'bass', 'pc', 'output', 'pc', 'time', 'call', 'hassle', 'quality', 'boat', 'purchase']",battery call day hour life money music product quality use
Good one but not great !,eventhough connects two divices time however audio doesnt switch first device connected while playing audio first device connected doesnt work only works last device connected we need reconnect previous device get worksnot sure manufacturing defect functionality limitation atleast works flawlessly bluetooth headset like jabraanyway light weight sound quality better many product price range,4,boAt Rockerz 255,3,0.428,"['eventhough', 'divice', 'time', 'audio', 'device', 'device', 'device', 'device', 'defect', 'functionality', 'limitation', 'atleast', 'headset', 'jabraanyway', 'weight', 'sound', 'quality', 'product', 'price', 'range']",device ear issue month phone product service time warranty year
Good buy at an affordable price,i looking pair bluetooth earphones use gym workouts i found rs 999 sale event heres review 1 week using product pros1 excellent bass quality youll love earphones bass lover2 the earphones lightweight magnetic tip makes easy carry around neck i find really convenient use gym3 good noise cancellation sweat resistantconsbattery life boat claims battery life 6 hours run much it shuts even though phone displays 20 battery leftear pain the ear buds comfortable pair find my ears start hurting prolonged usagemic the voice quality great preferred taking callsoverall good buy price range,4,boAt Rockerz 255,0,0.451,"['pair', 'earphone', 'workout', 'sale', 'event', 'week', 'product', 'pros1', 'bass', 'quality', 'earphone', 'bass', 'earphone', 'tip', 'neck', 'use', 'gym3', 'noise', 'cancellation', 'sweat', 'resistantconsbattery', 'life', 'boat', 'battery', 'life', 'hour', 'phone', 'display', 'battery', 'pain', 'ear', 'bud', 'pair', 'ear', 'voice', 'quality', 'callsoverall', 'buy', 'price', 'range']",battery call day hour life money music product quality use
The “Boat” experience !!,i feel best business they come exceptional quality awesome product exact right price point awesome accoustic experience boat provides would go far say bose price point i using boat rockerz 250 past lasted well 3 years delivering exceptional music experience throughout the battery started give way 2 yrs expected products the 255 better sound quality terms bass accoustic treble compared 250the wire bit long liking that’s probably cause gotten used short wire 250i sure last well 2 years my brother didn’t listen bought noise shotz regretting decision poor sound quality battery quality connection issues issues noise shotzeveryone give try oncei skullcandy replaced company 4 times first year warranty active throw away warranty expired 5th piece also malfunctioned the boat experience though awesome soundblowing experience,5,boAt Rockerz 255,2,0.305,"['business', 'quality', 'product', 'price', 'point', 'experience', 'boat', 'price', 'point', 'boat', 'rockerz', 'past', 'year', 'music', 'experience', 'battery', 'way', 'product', 'quality', 'term', 'bass', 'wire', 'bit', 'wire', '250i', 'year', 'brother', 'noise', 'shotz', 'decision', 'sound', 'quality', 'battery', 'quality', 'connection', 'issue', 'issue', 'oncei', 'skullcandy', 'company', 'time', 'year', 'warranty', 'throw', 'warranty', 'piece', 'boat', 'experience', 'experience']",base bass brand durability earphone jbl price quality range sound
Great headset and sturdy build,great headset music lovers solid bass loud volumes volume control separate headset addition mobile volume control huge plus good sound quality audio calls did try jogging unabl review moisture wicking properties much good length earphone cable good battery life i purchased 949 inr h nice good vfm overall i would buy againdesign wise i like boult wireless better wire tends hang long neck using earphones otherwise great product buy,5,boAt Rockerz 255,4,0.386,"['headset', 'music', 'lover', 'bass', 'volume', 'volume', 'control', 'addition', 'volume', 'control', 'quality', 'audio', 'call', 'review', 'moisture', 'property', 'length', 'earphone', 'cable', 'battery', 'life', 'againdesign', 'boult', 'wire', 'neck', 'earphone', 'product', 'buy']",button cable earphone month side speaker use volume wire work
FEEDBACK,ear goes order placing line complaint go throughpls replace suggest time punemaharashtra contact mobile 9811917164will give star rating getting feed back co,3,boAt Rockerz 255,3,0.84,"['ear', 'order', 'line', 'complaint', 'throughpls', 'replace', 'time', 'contact', 'mobile', 'star', 'rating', 'feed', 'co']",device ear issue month phone product service time warranty year
Setting Your Expectations Right,at rs1499 areas boat delivers largely others doesnt noise cancellation bass highlights might compromise poor build quality subpar sound clarity battery lifewith 1 weeks experience daily usage i come find1 the battery doesnt support 34 hours playtime even 70 volume2 great bass might sometimes overshadow mid high tones3 one earbuds stopped working i ordered replacement post update sameamazonappario excellent allround experience order placement delivery replacement initiation,3,boAt Rockerz 255,1,0.326,"['area', 'boat', 'cancellation', 'bass', 'highlight', 'build', 'quality', 'sound', 'clarity', 'battery', 'lifewith', 'week', 'usage', 'find1', 'battery', 'hour', 'playtime', 'bass', 'earbud', 'replacement', 'post', 'update', 'experience', 'order', 'placement', 'delivery', 'replacement', 'initiation']",bass cancellation clarity earphone headphone music noise quality sound voice
Good but not the best!,i bought searching many bluetooth wireless earphoneshere review using product one week oneplus 6tprosbattery life good compared earphonesbass goodlight weight even u cant feel around necknoice cancellation awesomeconsfaced issues connectivity mobile trouser pocketswhen holding mobile handno issues allrunning mobile trousers also shows interruption hearingsometimes i hear unwanted noice i think compatibility issues oneplus 6t devices toobattery charge always showing 100 6tbass good i feel noisythe voice connection disconnection weirdif looking wireless earphones 1500it best among you cant get best features price range so go,4,boAt Rockerz 255,3,0.491,"['earphoneshere', 'review', 'product', 'week', 'oneplus', 'life', 'earphonesbass', 'goodlight', 'weight', 'necknoice', 'cancellation', 'issue', 'connectivity', 'trouser', 'pocketswhen', 'handno', 'issue', 'trouser', 'interruption', 'hearingsometime', 'noice', 'compatibility', 'issue', 'device', 'charge', 'voice', 'connection', 'disconnection', 'weirdif', 'earphone', 'feature', 'price', 'range']",device ear issue month phone product service time warranty year
"Not at all suitable for running, long run when you sweet it easily enters inside",for first month good but starting blue tooth connectivity issue it even good connection within 5metres then within 30 days due sweating completely stopped working i still searching right wireless ear phone used long run marathon resist sweatingvery poor customer care service i returned product wait 3 week dispatching new one still 4th week shipment done,1,boAt Rockerz 255,3,0.873,"['month', 'tooth', 'connectivity', 'issue', 'connection', 'day', 'sweating', 'ear', 'phone', 'run', 'marathon', 'customer', 'care', 'service', 'product', 'week', 'one', 'week', 'shipment']",device ear issue month phone product service time warranty year
"Good bass, Value for money, Magnet feature is good",on time delivery product good bass wasnt feeling great initially changing inear buds bigger ones provided packing sound significantly better better bass treble easily connected mobile phone smart tv laptop i got 26th october today 30th i charge far use couple hours everyday battery life also seems decentits good value money would surely recommend,5,boAt Rockerz 255,0,0.529,"['time', 'delivery', 'product', 'bass', 'inear', 'bud', 'one', 'packing', 'sound', 'bass', 'phone', 'tv', 'laptop', 'today', '30th', 'couple', 'hour', 'everyday', 'battery', 'life', 'value', 'money']",battery call day hour life money music product quality use
"Good sound, bad ear plug holders",everything good product great sound i love however i i hadnt lost ear plugs hooks help u stick ur ear i would given 5 star they gave extra ear plugs hooks hold crevices ur ear help u enjoy bass i cant find separately amazon either it would great boat could include package,3,boAt Rockerz 255,3,0.665,"['product', 'love', 'ear', 'plug', 'hook', 'ear', 'star', 'ear', 'plug', 'crevice', 'ear', 'help', 'bass', 'boat', 'package']",device ear issue month phone product service time warranty year
Very good earphone of this cost.,sound quality good bass wonderful better life awesome there connecting issues before order i much doubtful performance earfone reading reviews amazon but i used i much satisfied amazon shipping always good prompt,4,boAt Rockerz 255,0,0.355,"['quality', 'bass', 'life', 'issue', 'order', 'performance', 'earfone', 'review', 'amazon', 'amazon', 'prompt']",battery call day hour life money music product quality use
A budget all-rounder by boAt,i using boat wireless headphones since two years never disappointed methis 3rs boat wireless headphones must say one impressed alot according price segment rs 999its perfect job delivering good quality soundregarding battery life 6hrs quite ok since purchased 999rs cant expect much itcoming sound quality bit bass bass treble problem love high bassoverall sound quality good price segmentthe build quality high quality yes sturdy enough withstand normal dropsacording length cord lengthyone thing dint like boaat connectivity range range connectivity less 10mbut budget matters given thought paid 999rsi much satisfied overall performanceregarding service center customers leaving mumbai added advantage hadmy previous boat rockerz 275 one earpieces suddenly stopped visited service center goregaon replaced headphones new 5 minutes without questions askedso customers mumbai dont worry warranty,4,boAt Rockerz 255,2,0.308,"['boat', 'headphone', 'year', 'boat', 'headphone', 'alot', 'price', 'segment', '999it', 'job', 'quality', 'soundregarding', 'battery', 'life', 'quality', 'bit', 'bass', 'bass', 'problem', 'bassoverall', 'sound', 'quality', 'price', 'build', 'quality', 'quality', 'length', 'lengthyone', 'thing', 'connectivity', 'range', 'connectivity', 'budget', 'matter', 'thought', 'performanceregarding', 'service', 'center', 'customer', 'mumbai', 'advantage', 'boat', 'earpiece', 'service', 'center', 'headphone', 'minute', 'question', 'customer', 'mumbai', 'warranty']",base bass brand durability earphone jbl price quality range sound
Feeling bad buying this.,sound quality isnt good not worth cost durability well comes plastic construction need wear around neck so cant fit anythingfeeling bad buying product considering image doesnt clarify plastic ring around neck oh yes one thing ear piece rubber hook design bad cant get ears properly,2,boAt Rockerz 255,0,0.606,"['quality', 'cost', 'durability', 'construction', 'neck', 'buying', 'product', 'image', 'plastic', 'ring', 'neck', 'thing', 'piece', 'rubber', 'hook', 'design', 'ear']",battery call day hour life money music product quality use
Perfect for music,the product design really good comfortable lightweight the color combination perfect unisex collection i picked red black combination the noise cancellation call good mark the biggest drawback i felt i could connect laptop via bluetooth plus cannot take calls headset buttons control volume play pause call,4,boAt Rockerz 255,1,0.397,"['product', 'design', 'lightweight', 'color', 'combination', 'unisex', 'collection', 'combination', 'noise', 'cancellation', 'mark', 'drawback', 'laptop', 'call', 'button', 'control', 'volume', 'pause', 'call']",bass cancellation clarity earphone headphone music noise quality sound voice
Awesome sound quality but....,everything good sound quality awesome look wise also decent butbut battery life bad consider using whole day battery may end day ends backup 67 hours enough whole day use if want something good battery life jabra elite 25e looking something good sound quality looking want thing one sorry thing available searched watched every earphones review technology seems failing even see wireless mouse keyboard good ratings,3,boAt Rockerz 255,0,0.758,"['quality', 'look', 'butbut', 'battery', 'life', 'day', 'battery', 'day', 'hour', 'day', 'use', 'battery', 'life', 'jabra', 'elite', '25e', 'sound', 'quality', 'want', 'thing', 'thing', 'earphone', 'review', 'technology', 'mouse', 'keyboard', 'rating']",battery call day hour life money music product quality use
Value for Money,these worthy bt headphones pricepros1 good bass2 flexible3 easy connect control4 decent battery life 68 hourscons1 loose ear grip2 a bit lightweight3 flimsy4 doesnt indciation battery life,4,boAt Rockerz 255,0,0.854,"['headphone', 'bass2', 'battery', 'life', 'hourscons1', 'ear', 'grip2', 'bit', 'flimsy4', 'battery', 'life']",battery call day hour life money music product quality use
Nice and perfect.. Go for it,just got productamazon didnt say anything carry pouchin box written pouch inside pouch insidebuild quality superb expected boatconnectivity simple bluetooth range niceit nice neck bandnow coming performanceif u r music lover go iteverything greatbass excellentmusic awesomecoming call quality awesomedidnt check battery life yet,5,boAt Rockerz 255,2,0.447,"['productamazon', 'pouch', 'pouch', 'insidebuild', 'quality', 'superb', 'boatconnectivity', 'range', 'neck', 'performanceif', 'music', 'greatbass', 'awesomecoming', 'call', 'quality', 'battery', 'life']",base bass brand durability earphone jbl price quality range sound
Great great product.. simply the best,best headphones i ever bought i tested quite lot lot different brands n price range one simply knocks field terms sound quality bass loudness battery life go without hesitation wont regret decisionand ya stay ear n create sound isolation good running,5,boAt Rockerz 255,2,0.339,"['headphone', 'lot', 'lot', 'brand', 'price', 'range', 'field', 'term', 'quality', 'bass', 'loudness', 'battery', 'life', 'hesitation', 'decisionand', 'ear', 'isolation', 'running']",base bass brand durability earphone jbl price quality range sound
A decent and functional product with sooper bass,mid range poor the finer sounds extractedthe product extremely light u wont feel this awesome feel sooper bass crystal clear pitch bluetooth connectivity remarkable i received yesterday played 3 5 hours without drop performance seems sturdy yes listening audio gaana getting 3d feel sitting midst concert,4,boAt Rockerz 255,0,0.405,"['range', 'finer', 'product', 'light', 'bass', 'crystal', 'connectivity', 'yesterday', 'hour', 'drop', 'performance', 'audio', 'midst', 'concert']",battery call day hour life money music product quality use
Excellent product,boat awesome like hear basss qualityi using one plus 6 quite satisfied boat in case audio controlsdouble tap button increase volume single tap change next trackdouble tap button decrease volume single tap previous trackdouble tap middle button dial last call single tap 2 seconds google assistant single tap immediate play pause music single tap long press boat rocker bluetooth connectivityif u charge daily 20 minutes enough long day continues musicoverall good product,4,boAt Rockerz 255,4,0.564,"['boat', 'basss', 'qualityi', 'boat', 'case', 'button', 'increase', 'volume', 'tap', 'change', 'tap', 'button', 'decrease', 'volume', 'tap', 'tap', 'button', 'dial', 'tap', 'second', 'assistant', 'tap', 'play', 'pause', 'music', 'tap', 'press', 'boat', 'rocker', 'minute', 'day', 'product']",button cable earphone month side speaker use volume wire work
Good deal for the price offered,for price offered i would recommend noise cancellation surprisingly good sound quality also impressive greatest sure bass effect fit ear perfectly doesnt come wire exteriors made plastic serves primary purpose bluetooth slightly deteriorates keep phone move another room many walls obstructing but overall good deal battery lasts upto 6 hours,4,boAt Rockerz 255,0,0.269,"['price', 'noise', 'cancellation', 'sound', 'quality', 'bass', 'effect', 'ear', 'wire', 'exterior', 'plastic', 'purpose', 'deteriorate', 'phone', 'move', 'room', 'wall', 'deal', 'battery', 'upto', 'hour']",battery call day hour life money music product quality use
"very bad for calling,gaming and battery backup is around 2 hours",sound quality good music battery working 200230 hours maxmic bad everyone complaining voice coming properwhen youre video calling voice syncits come bit letter 12 secondsand thing happen sre playing gamepubg i returning thisproduct per expectations,2,boAt Rockerz 255,0,0.614,"['quality', 'music', 'battery', 'hour', 'voice', 'video', 'voice', 'syncit', 'bit', 'thing', 'sre', 'playing', 'thisproduct', 'expectation']",battery call day hour life money music product quality use
SuperDuperAwesome,value money i bought 999₹ lightening dealbass fantastic feels like home theatre soundsound quality expected looking something atleast reach iphones earphones exact i wantednoise cancellation superblight weight look wise porsche rich lookeasy access siri working hpsear bud magnet nicein love product planning order 1 sister,5,boAt Rockerz 255,0,0.587,"['value', 'money', 'dealbass', 'home', 'theatre', 'soundsound', 'quality', 'atleast', 'iphone', 'earphone', 'cancellation', 'weight', 'porsche', 'lookeasy', 'access', 'siri', 'nicein', 'love', 'product', 'planning', 'order', 'sister']",battery call day hour life money music product quality use
Waste of Money Stopped working in just 20days,product stopped working 20 days useless even 10 day return policy refund waste hard earned money,1,boAt Rockerz 255,0,0.492,"['product', 'day', 'day', 'return', 'policy', 'refund', 'waste', 'money']",battery call day hour life money music product quality use
"Great headset for its prize & sound quality, But too lengthy!",this good bluetooth headset process sound quality great i recommend bass loversbluetooth coverage pretty good averagethe thing i hate length i put comes till chest irritating washing face etcsamsung level u design much greateronly apart great onei got rs 999 amazon summer sale early i’m prime member,4,boAt Rockerz 255,4,0.449,"['headset', 'process', 'quality', 'bass', 'coverage', 'thing', 'length', 'put', 'chest', 'washing', 'face', 'level', 'design', 'greateronly', 'summer', 'sale', 'member']",button cable earphone month side speaker use volume wire work
Value for money,got 1399 lighting sale worth u paid dont expect toooooo much performance value money thats yesterday afternoon i received product that time battery 100 it always connected phone using nearly 12 hours connected phone i using audio video purpose approximately i used 2 hours audio video purpose battery 60 okay product,4,boAt Rockerz 255,0,0.967,"['lighting', 'sale', 'worth', 'performance', 'value', 'money', 'yesterday', 'afternoon', 'product', 'time', 'battery', 'phone', 'hour', 'phone', 'video', 'purpose', 'hour', 'video', 'purpose', 'battery', 'product']",battery call day hour life money music product quality use
"Good product, customer care/service questionable",ive using runs last month havent issues lately however earphones stopped charging led doesnt work earphones heat substantially i try charge iti tried register product complaint vendors website always receive error ive tried calling always receive network busy error i emailed awaiting replyoverall really good product one cant get product work warranty period theres point buying,2,boAt Rockerz 255,4,0.295,"['run', 'month', 'issue', 'earphone', 'earphone', 'heat', 'charge', 'product', 'complaint', 'vendor', 'website', 'error', 'network', 'error', 'replyoverall', 'product', 'product', 'work', 'warranty', 'period', 'point', 'buying']",button cable earphone month side speaker use volume wire work
Honest review of the product....!!,its 5 days i bought productcons10m bluetooth connectivity myth supports upto 35 mwires quite durable thickbass lower averagenot durable long runears starts pain use 30minprosgets charged quicklylight weightgets connected quicklyno problem connectionso product lower averagenow youso think twice buying thus product,2,boAt Rockerz 255,0,0.493,"['day', 'productcons10', 'connectivity', 'myth', 'mwire', 'runear', 'pain', 'use', 'quicklylight', 'weightget', 'problem', 'connectionso', 'product', 'youso', 'product']",battery call day hour life money music product quality use
A very bassy earphones,this convenient easy use earphones i issues connectivity battery good reliable the sound leans heavily bass side things for bass heads like loud earphones perfect for people want neutral sounding earphones look elsewhere,5,boAt Rockerz 255,4,0.344,"['use', 'earphone', 'issue', 'connectivity', 'battery', 'sound', 'side', 'thing', 'bass', 'head', 'earphone', 'people', 'earphone']",button cable earphone month side speaker use volume wire work
Worth & do go for it when needed.,wl earphone 115k price range handle carefully 1st 1 week understand different feature capability had many reviews amazon i still opted incidentally well till 1 month use little problem callaudio management thats major issue same feature jbl higher price rande 4k bad one,3,boAt Rockerz 255,3,0.394,"['price', 'range', 'week', 'feature', 'capability', 'review', 'amazon', 'month', 'problem', 'callaudio', 'management', 'issue', 'feature', 'jbl', 'price', 'rande']",device ear issue month phone product service time warranty year
Awesome sound quality.,awesome sound quality product really fantastic want buy bluetooth headset 2000 rupees best option i would suggest really enjoy listening music bluetooth headset voice quality awesome calling good battery backup prices also usuallythank much boat thank much reading review,5,boAt Rockerz 255,0,0.337,"['quality', 'product', 'headset', 'rupee', 'option', 'music', 'voice', 'quality', 'battery', 'backup', 'price', 'boat', 'reading', 'review']",battery call day hour life money music product quality use
Epic experience for Bassheads,never used boat product one boy impressed quality thingbass 910mids 910highs 810battery performance 910 hours full charge also feature 10 mins charge give 35mins worth batterybt range 710m depending upon obstacles phonecomfort 810 plasticysilicone actually things protruding might feel bit uncomfortable firstcons 1 irritating indicator low battery presume goes 45 timesat 10 first every drop percentage 5 hearing oops battery getting low similar message 2 the charging port concealed awkard wayalthough durable cover kinda obtrusive 3 recommend using powerfastturbo charger whatever call days want see live longer month110mah battery lion battery would def like charge mine using laptop usb portsometimes charged using phone 3 drain full charge epic travellingi used many wired earphones comparison seems stupid well competing sennheiser cx 180 jbl c200si even outperforms sony mdrex150ap terms sound qualityalso getting around 1400 seems like best price anything higher would save sumtin elsetldr fits budget go without thinking,5,boAt Rockerz 255,0,0.652,"['boat', 'product', 'boy', 'quality', 'thingbass', 'performance', 'hour', 'charge', 'min', 'charge', 'range', 'obstacle', 'phonecomfort', 'plasticysilicone', 'thing', 'firstcon', 'indicator', 'battery', 'presume', 'timesat', 'drop', 'percentage', 'hearing', 'battery', 'message', 'port', 'wayalthough', 'cover', 'recommend', 'powerfastturbo', 'charger', 'call', 'day', 'battery', 'battery', 'charge', 'mine', 'laptop', 'portsometime', 'phone', 'drain', 'charge', 'earphone', 'comparison', 'sennheiser', 'jbl', 'c200si', 'mdrex150ap', 'term', 'price', 'sumtin', 'elsetldr', 'budget']",battery call day hour life money music product quality use
Good Quality and value for the money,fast delivery amazon just 2 days item received todayfirst impression soo well feel worth amount paid item the bass good it fits ears properlyonly found little negativity length cable it pops shirttshirt feels little uncomfortable else everything perfect product 455,5,boAt Rockerz 255,0,0.443,"['delivery', 'amazon', 'day', 'item', 'impression', 'amount', 'item', 'bass', 'ear', 'negativity', 'length', 'cable', 'shirttshirt', 'product']",battery call day hour life money music product quality use
Think twice before buying!!!,i also bose premium headphones i think i cannot wear everyday gym i bought product day day workouts comparing bose sound crisp bluetooth earphone 2k worth i really like beats sound pretty awesome toofull marks i find pretty annoying working gym there u shaped clip end two wires attached connects earphones the sturdy clip hang round neck time if running clip might start rotating would slowly force one earbud come ear pretty annoyingbelieve turn clip time hang around neck correct position also ab crunches keep falling back take earbuds along iti mislead pictures i thought wire clip just wanted point dont make mistake but much workout want travel connection range awesome beats great dealcheers,3,boAt Rockerz 255,0,0.327,"['premium', 'headphone', 'gym', 'product', 'day', 'day', 'workout', 'bose', 'sound', 'earphone', 'beat', 'mark', 'gym', 'clip', 'wire', 'connect', 'earphone', 'hang', 'neck', 'time', 'clip', 'earbud', 'turn', 'time', 'neck', 'position', 'crunch', 'take', 'earbud', 'mislead', 'picture', 'point', 'mistake', 'workout', 'travel', 'connection', 'range', 'dealcheer']",battery call day hour life money music product quality use
I will review it honestly for who all are reading this review,i read many good bad reviews product i brought i review honestly reading review1my product box fully damage reworked box like one used product fine2the sound clarity good music extraordinary bass movie youtube videos3noise cancellation good waste i still background noise4not great fit workout session due sweat run ear magnetic lock locking perfectly unplugged ear5its good battery life like said solidly 5306 hrs charge time 130hrsthats everything i earphones,3,boAt Rockerz 255,0,0.702,"['review', 'product', 'review', 'product', 'box', 'damage', 'box', 'product', 'sound', 'clarity', 'music', 'bass', 'movie', 'youtube', 'cancellation', 'waste', 'workout', 'session', 'sweat', 'run', 'lock', 'ear5it', 'battery', 'life', 'hrs', 'charge', 'time', 'earphone']",battery call day hour life money music product quality use
Deceiving pricing! Stay alert,i bought product long wait drop price 1500 finally days buying 1500 price dropped 999 really unhappy spend 500 extra quality wise theyre good exceptional also eartips hooks smaller branded earphones interchangeable earphones i find inconvenient sennheiser earphones much better quality tips i cannot fit fit lose,1,boAt Rockerz 255,0,0.453,"['product', 'drop', 'price', 'day', 'price', 'spend', 'quality', 'eartip', 'earphone', 'earphone', 'quality', 'tip', 'lose']",battery call day hour life money music product quality use
Low cost but high value,one best boat earphones i using boat two years i found services impressive the audio quality good the music feels amazing bass also good compared boat productshowever one problem latency audio playing game i played pubg using earphones mismatch audio action performed game if gaming freak plays lot game pubg asphalt cod game audio everything dont buy bluetooth devices go wired one perform far better hope find review helpful,5,boAt Rockerz 255,2,0.451,"['boat', 'earphone', 'boat', 'year', 'service', 'quality', 'music', 'bass', 'boat', 'productshowever', 'problem', 'latency', 'playing', 'game', 'earphone', 'action', 'game', 'gaming', 'freak', 'lot', 'game', 'cod', 'game', 'audio', 'device', 'hope', 'review']",base bass brand durability earphone jbl price quality range sound
Bad quality and not a stylish product,looks badnot stylishvery uncomfortablesound also goodi don’t know products pricebetter don’t bye productno need go reviews u saw reviewi can’t return item replace option,1,boAt Rockerz 255,3,0.441,"['stylishvery', 'uncomfortablesound', 'product', 'need', 'review', 'item', 'replace', 'option']",device ear issue month phone product service time warranty year
Awesome,very good sound quality it perfect sports also purposesvery good bass bass download app bass booster get itnoise cancelation goodit given battery backup 6 hoursbut used came know give battery back 6 hours,5,boAt Rockerz 255,1,0.445,"['sound', 'quality', 'sport', 'bass', 'bass', 'download', 'booster', 'cancelation', 'goodit', 'battery', 'battery', 'hour']",bass cancellation clarity earphone headphone music noise quality sound voice
Good sound with poor quality,product average ear buds clip sizes differ holding firmly slips vigorous workouts sound quality good decent but batty life very disappointing disconnects very often after 1 hourso not a value for money,3,boAt Rockerz 255,0,0.692,"['product', 'ear', 'clip', 'size', 'workout', 'quality', 'life', 'disconnect', 'hourso', 'value', 'money']",battery call day hour life money music product quality use
Not for audiophiles,its got good bass range treble mid range lackingif you audiophile you notice lacking just one day usedid tests yes lacks higher frequencieshowever equalizer helps bitbuilt wise good and last long,3,boAt Rockerz 255,2,0.434,"['bass', 'range', 'range', 'lackingif', 'day', 'test', 'frequencieshowever', 'equalizer']",base bass brand durability earphone jbl price quality range sound
Excellent Product,the earphones sleek bulky around neck give really good sporty look the sound quality nice harsh good bass treble balance even full volumegot product amazon sale headphones ordered two earphone one defective hence one less star overall review the one great condition good deal price,4,boAt Rockerz 255,2,0.335,"['earphone', 'neck', 'quality', 'bass', 'balance', 'volumegot', 'product', 'amazon', 'sale', 'headphone', 'earphone', 'star', 'condition', 'deal', 'price']",base bass brand durability earphone jbl price quality range sound
Good product but bit expensive,battery life good great expecting bit pricesound quality nicely clear loud distortion moderate volumedurability good product looks somewhat delicate i sure handle rough usagewearing comfort good connecting process phone easy fast,4,boAt Rockerz 255,0,0.697,"['battery', 'life', 'bit', 'pricesound', 'quality', 'distortion', 'volumedurability', 'product', 'comfort', 'process', 'phone']",battery call day hour life money music product quality use
Terrible headsets,i bought one recently experience 1 wireless range low2 battery life isnt good either3 boat known bass ones bass terribly unpleasantfinal verdict dont buy better go mi sports basic headsets much better balanced sound or good budget go jays tfour rha wow,1,boAt Rockerz 255,1,0.346,"['range', 'battery', 'life', 'either3', 'boat', 'bass', 'one', 'verdict', 'mi', 'sport', 'headset', 'sound', 'budget', 'wow']",bass cancellation clarity earphone headphone music noise quality sound voice
Economy class,economic i would say not great bad its decent performance battery life you surely go u music freak need sound quality high standards a really good product day day use i would say price justice done,4,boAt Rockerz 255,0,0.706,"['performance', 'battery', 'life', 'music', 'freak', 'need', 'quality', 'standard', 'product', 'day', 'day', 'use', 'price', 'justice']",battery call day hour life money music product quality use
Good performance but the earphones stopped working after some time.,i bought earphones 20 days back they working absolutely fine they fit perfectly sound greatbut 20 days working stopped working they wont switch i tried charging powerbanks pc chargers i careful exceeding amperage charging i didnt exceed limit now claim warranty i send company take least 1015 days this unfortunate i seriously questioning legitimacy brand,1,boAt Rockerz 255,0,0.586,"['earphone', 'day', 'day', 'pc', 'charger', 'amperage', 'charging', 'limit', 'warranty', 'company', 'day', 'legitimacy', 'brand']",battery call day hour life money music product quality use
"Works good, sound is okay, pains your ear after sometime",does work portable music listening needs quiet place mic work isnt great i never use calls base quite high pains ear hour listening if get around 1000 bucks take portable experience otherwise invest good wired inear sennheiser u get 1500 gives best audio output,3,boAt Rockerz 255,1,0.389,"['music', 'place', 'work', 'base', 'pain', 'hour', 'buck', 'experience', 'inear', 'sennheiser', 'output']",bass cancellation clarity earphone headphone music noise quality sound voice
"3.5/5 stars, good at this price range itherwise ok ok",good build quality price range sound quality good little improvement appreciated no battery indicatiin no full charge indication no option change male notificatiin voice female notification voice glitches often battery level indication connected phone wrong shows 100 80 direct 20 4 5 minutes shutting,4,boAt Rockerz 255,0,0.439,"['quality', 'price', 'range', 'quality', 'improvement', 'battery', 'indicatiin', 'charge', 'indication', 'option', 'change', 'notificatiin', 'voice', 'notification', 'voice', 'battery', 'level', 'indication', 'phone', 'wrong', 'minute']",battery call day hour life money music product quality use
Bluetooth Connection Problem while playing songs.,i using headset 4 months reviewsound quality excellentnoice cancelation goodcomfortable ear bud comfortable creates pain earconnectivity bad beginning ok long usage facing much connectivity problemsbattery backup goodbluetooth distance for short distance good like around 78 metersoverall comment need improve connectivity issues ear bud model ear bud adjustable disconnect problem focused,3,boAt Rockerz 255,3,0.477,"['headset', 'month', 'quality', 'excellentnoice', 'cancelation', 'ear', 'pain', 'earconnectivity', 'usage', 'connectivity', 'problemsbattery', 'backup', 'distance', 'distance', 'metersoverall', 'comment', 'connectivity', 'issue', 'disconnect', 'problem']",device ear issue month phone product service time warranty year
